"","x"
"1","id"
"2","index"
"3","period"
"4","timestamp"
"5","minute"
"6","second"
"7","possession"
"8","duration"
"9","related_events"
"10","location"
"11","under_pressure"
"12","out"
"13","counterpress"
"14","off_camera"
"15","type.id"
"16","type.name"
"17","possession_team.id"
"18","possession_team.name"
"19","play_pattern.id"
"20","play_pattern.name"
"21","team.id"
"22","team.name"
"23","tactics.formation"
"24","tactics.lineup"
"25","player.id"
"26","player.name"
"27","position.id"
"28","position.name"
"29","pass.length"
"30","pass.angle"
"31","pass.end_location"
"32","pass.aerial_won"
"33","pass.switch"
"34","pass.miscommunication"
"35","pass.assisted_shot_id"
"36","pass.shot_assist"
"37","pass.straight"
"38","pass.cross"
"39","pass.inswinging"
"40","pass.outswinging"
"41","pass.cut_back"
"42","pass.no_touch"
"43","pass.deflected"
"44","pass.through_ball"
"45","pass.goal_assist"
"46","pass.recipient.id"
"47","pass.recipient.name"
"48","pass.height.id"
"49","pass.height.name"
"50","pass.body_part.id"
"51","pass.body_part.name"
"52","pass.type.id"
"53","pass.type.name"
"54","pass.outcome.id"
"55","pass.outcome.name"
"56","pass.technique.id"
"57","pass.technique.name"
"58","ball_receipt.outcome.id"
"59","ball_receipt.outcome.name"
"60","duel.type.id"
"61","duel.type.name"
"62","duel.outcome.id"
"63","duel.outcome.name"
"64","clearance.aerial_won"
"65","clearance.head"
"66","clearance.left_foot"
"67","clearance.right_foot"
"68","clearance.other"
"69","clearance.body_part.id"
"70","clearance.body_part.name"
"71","carry.end_location"
"72","interception.outcome.id"
"73","interception.outcome.name"
"74","dribble.overrun"
"75","dribble.nutmeg"
"76","dribble.outcome.id"
"77","dribble.outcome.name"
"78","shot.statsbomb_xg"
"79","shot.end_location"
"80","shot.key_pass_id"
"81","shot.freeze_frame"
"82","shot.first_time"
"83","shot.aerial_won"
"84","shot.one_on_one"
"85","shot.saved_to_post"
"86","shot.saved_off_target"
"87","shot.technique.id"
"88","shot.technique.name"
"89","shot.body_part.id"
"90","shot.body_part.name"
"91","shot.type.id"
"92","shot.type.name"
"93","shot.outcome.id"
"94","shot.outcome.name"
"95","goalkeeper.end_location"
"96","goalkeeper.punched_out"
"97","goalkeeper.shot_saved_to_post"
"98","goalkeeper.shot_saved_off_target"
"99","goalkeeper.type.id"
"100","goalkeeper.type.name"
"101","goalkeeper.outcome.id"
"102","goalkeeper.outcome.name"
"103","goalkeeper.technique.id"
"104","goalkeeper.technique.name"
"105","goalkeeper.position.id"
"106","goalkeeper.position.name"
"107","goalkeeper.body_part.id"
"108","goalkeeper.body_part.name"
"109","foul_committed.offensive"
"110","foul_committed.card.id"
"111","foul_committed.card.name"
"112","foul_won.defensive"
"113","ball_recovery.recovery_failure"
"114","ball_recovery.offensive"
"115","50_50.outcome.id"
"116","50_50.outcome.name"
"117","block.deflection"
"118","substitution.outcome.id"
"119","substitution.outcome.name"
"120","substitution.replacement.id"
"121","substitution.replacement.name"
"122","bad_behaviour.card.id"
"123","bad_behaviour.card.name"
"124","match_id"
"125","competition_id"
"126","season_id"
"127","shot.open_goal"
"128","dribble.no_touch"
"129","foul_won.advantage"
"130","foul_committed.advantage"
"131","miscontrol.aerial_won"
"132","block.offensive"
"133","shot.deflected"
"134","foul_committed.type.id"
"135","foul_committed.type.name"
"136","block.save_block"
"137","injury_stoppage.in_chain"
"138","foul_committed.penalty"
"139","foul_won.penalty"
"140","goalkeeper.success_in_play"
"141","half_start.late_video_start"
